Opened	Name	City	Market
12/10/2018	N Main St & Parris Ave	High Point	NorthCarolina\Greensboro
12/8/2018	I-575 and Bells Ferry Road	Kennesaw	Georgia\Atlanta
12/7/2018	Avalon & Golden Isle	Orlando	Florida\Orlando
12/7/2018	Georgetowne Shopping Center	Brooklyn	NewYork\Brooklyn
12/7/2018	Egypt Rd, Oaks	Phoenixville	Pennsylvania\Philadelphia
12/7/2018	N Columbia and W. Fort Howard Road	Rincon	Georgia\Savannah
12/7/2018	Sugarloaf and Old Norcross	Lawrenceville	Georgia\Atlanta
12/6/2018	690 Hunt Club Road	Ottawa	Ontario\Ottawa
12/6/2018	Busse Rd & Greenleaf	Elk Grove Village	Illinois\Chicagoland
12/6/2018	52nd and I-29 - Fargo	Fargo	NorthDakota
12/6/2018	8220 Bayview Ave	Markham	Ontario\GreaterTorontoArea
12/6/2018	170 W Street Road - Feasterville	Feasterville	Pennsylvania\Philadelphia
12/6/2018	Fortress and John Rice	Murfreesboro	Tennessee\Nashville
12/6/2018	Middletown - Shelbyville & I 265	Louisville	Kentucky\Louisville
12/5/2018	Exposition & Challenge	Sacramento	California\Sacramento
12/3/2018	175 & Washington	Kaufmann	Texas\RemoteMarkets
12/3/2018	Central Park and 40th	Denver	Colorado\Denver
12/3/2018	Louetta and Grant	Cypress	Texas\Houston
11/30/2018	Camp Wisdom & Hwy 67	Dallas	Texas\DallasFortWorth
11/30/2018	Deans Lane	South Brunswick	NewJersey
11/30/2018	Lynnfield, Route 1	Lynnfield	Massachusetts\Boston
11/30/2018	I-520 and Peach Orchard	Augusta	Georgia\Augusta
11/30/2018	N. 1st & E. Dorset	Dixon	California\SolanoCounty
11/29/2018	Lynn Valley Centre	North Vancouver	BritishColumbia\Vancouver
11/28/2018	90 Highway 8	Stoney Creek	Ontario\HamiltonRegion
11/27/2018	Main & W Washington	East Peoria	Illinois\IllinoisRemoteMarkets
11/23/2018	77th St. & Lexington	New York	NewYork\NewYorkCity
11/22/2018	Walker Ave & I-96	Grand Rapids	Michigan\GrandRapids
11/19/2018	Bob Hope & Varner	Cathedral City	California\PalmSprings
11/19/2018	Parker - Jordan and E470	Parker	Colorado\Denver
11/16/2018	Vineland & International Drive	Orlando	Florida\Orlando
11/16/2018	Alvarado & 3rd	Los Angeles	California\LosAngeles
11/16/2018	Hwy 535 & Silver Lake Park	Windermere	Florida\Orlando
11/16/2018	SW College & SW 27th	Ocala	Florida\Gainesville
11/16/2018	Senate Plaza, Camp Hill	Camp Hill	Pennsylvania\PennsylvaniaRemoteMarkets
11/15/2018	US-14 & Lake	Woodstock	Illinois\Chicagoland
11/15/2018	Fifty Rd at Winona Crossing	Stoney Creek	Ontario\HamiltonRegion
11/15/2018	Sioux Falls - Bahnson & 10th	Sioux Falls	SouthDakota
11/15/2018	Ridge & Clark	Chicago	Illinois\Chicago
11/15/2018	Main & Rincon	Corona	California\RiversideCounty
11/12/2018	Mockingbird & Maple	Dallas	Texas\DallasFortWorth
11/10/2018	Franklin Park, 105 VIP Drive	Wexford	Pennsylvania\Pittsburgh
11/9/2018	Highway 521 and Jim Wilson	Indian Land	SouthCarolina\GreaterCharlotte
11/8/2018	City Center Bishop Ranch	San Ramon	California\ContraCostaCounty
11/8/2018	Prospect & Lawrence	San Jose	California\SantaClaraCounty
11/8/2018	I-30 & Winslow	Dallas	Texas\DallasFortWorth
11/8/2018	Rosecrans & Crenshaw	Gardena	California\LosAngelesCountySouthBay
11/6/2018	US-131 & Lears	Petoskey	Michigan\MichiganRemoteMarkets
11/5/2018	US 75 & FM 691	Denison	Texas\RemoteMarkets
11/5/2018	Broadway & Exchange Pl.	New York	NewYork\NewYorkCity
11/5/2018	Nicholson and N Stadium	Baton Rogue	Louisiana\BatonRouge
11/3/2018	Cordata Center	Bellingham	Washington\Bellingham
11/3/2018	10th & Locust - Des Moines	Des Moines	Iowa
11/2/2018	St James & Central Ave	Goose Creek	SouthCarolina\Charleston
11/2/2018	Sheppard Subway TTC	Toronto	Ontario\Toronto
11/2/2018	Hwy 46 & Hickman	Sanford	Florida\Orlando
11/2/2018	Kent, East Main St and Luther	Kent	Ohio\Akron
11/1/2018	Burton & Rosemont	Grand Rapids	Michigan\GrandRapids
11/1/2018	Folsom & 53rd	Sacramento	California\Sacramento
11/1/2018	414 Mayor Magrath Drive N	Lethbridge	Alberta\AlbertaRemoteMarkets
11/1/2018	SW Broadway & Clay	Portland	Oregon\Portland
11/1/2018	Pioneer & Del Amo	Cerritos	California\SoutheastLosAngeles
11/1/2018	Speedway & 6th	Tucson	Arizona\Tucson
10/30/2018	Lougheed Town Centre	Burnaby	BritishColumbia\Vancouver
10/29/2018	Wadsworth & 120th	Broomfield	Colorado\Denver
10/29/2018	2348 Highway 2	Bowmanville	Ontario\OntarioRemoteMarkets
10/27/2018	99 Bank St	Ottawa	Ontario\Ottawa
10/26/2018	Dacula & Fence	Dacula	Georgia\GeorgiaRemoteMarkets
10/26/2018	SR 70 and Lakewood Ranch	Lakewood Ranch	Florida\SarasotaBradenton
10/26/2018	Middleton, S. Main St.	Middleton	Massachusetts\Boston
10/26/2018	Paramus Town Square	Paramus	NewJersey
10/25/2018	50 W & Crusader Rd, Cambridge, MD	Cambridge	Maryland\EasternMaryland
10/25/2018	I-74 & SR-267	Brownsburg	Indiana\Indianapolis
10/25/2018	Mason Grand & Kings Mill Rd	Mason	Ohio\Cincinnati
10/25/2018	Media - Baltimore Pike	Media	Pennsylvania\Philadelphia
10/24/2018	Verdugo & Hollywood	Burbank	California\SanFernandoValley
10/24/2018	White Mountain & Deuce of Clubs	Show Low	Arizona\ArizonaRemoteMarkets
10/24/2018	Irvine Spectrum	Irvine	California\OrangeCounty
10/24/2018	Richards & Research	Davis	California\YoloCounty
10/22/2018	Westheimer & Falcon Landing	Katy	Texas\Houston
10/22/2018	2 Douglas Road	Uxbridge	Ontario\OntarioRemoteMarkets
10/20/2018	Hospitality & Tippecanoe	San Bernardino	California\SanBernardinoCounty
10/19/2018	US 41 & Airport	Naples	Florida\Naples
10/19/2018	291 Erie Street South	Leamington	Ontario\OntarioRemoteMarkets
10/19/2018	Scottsdale & Mescal	Scottsdale	Arizona\Phoenix
10/19/2018	Pulaski Hwy, Elkton	Elkton	Maryland\MarylandRemoteMarkets
10/18/2018	Valparaiso - Calumet & Vale Park Rd	Valparaiso	Indiana\NorthwestIndiana
10/18/2018	Whitecourt	Whitecourt	Alberta\AlbertaRemoteMarkets
10/18/2018	Greenwich & Kellogg - Wichita	Wichita	Kansas\Wichita
10/15/2018	Craig and Scott Robinson	North Las Vegas	Nevada\LasVegas
10/15/2018	Lafayette Ave & Grand Ave	Brooklyn	NewYork\Brooklyn
10/15/2018	Sherwood & Southland	San Angelo	Texas\RemoteMarkets
10/12/2018	Vienna, Grand Central Mall	Vienna	WestVirginia
10/12/2018	Harvey Ave & Bertram St	Kelowna	BritishColumbia\EasternBritishColumbia
10/12/2018	1183 N Tamiami Trail	Nokomis	Florida\SarasotaBradenton
10/12/2018	General de Gaulle and Holiday	New Orleans	Louisiana\NewOrleans
10/12/2018	Hwy 98 & Lucile Street East	Bartow	Florida\Lakeland
10/12/2018	Rio Grande RT 9	Rio Grande	NewJersey
10/12/2018	S Cleveland Avenue & Trailwinds	Fort Myers	Florida\Naples
10/11/2018	Woodmore Town Center	Lanham	Maryland\WashingtonDCArea
10/11/2018	Cantrell & Riverfront	Little Rock	Arkansas
10/11/2018	Route 4 N & Dunkirk Way	Dunkirk	Maryland\SouthernMaryland
10/5/2018	Winchester and Homer Nance	Huntsville	Alabama\Huntsville
10/5/2018	W. Oak Ridge & Adriana	Orlando	Florida\Orlando
10/5/2018	Berwick Savannah	Savannah	Georgia\Savannah
10/5/2018	Broughton and Drayton	Savannah	Georgia\Savannah
10/5/2018	State St. and Marketplace Ln	Boise	Idaho\Boise
10/4/2018	1st and McNatt	Vidalia	Georgia\GeorgiaRemoteMarkets
10/2/2018	Walnut Hill Ln & Skillman St	Dallas	Texas\DallasFortWorth
10/1/2018	TX 161 & Arkansas Lane	Grand Prairie	Texas\DallasFortWorth
10/1/2018	William D. Fitch and Arrington	College Station	Texas\CollegeStation
10/1/2018	Wayzata Blvd and CR 101 - Wayzata	Wayzata	Minnesota\Minneapolis
10/1/2018	Foothill Blvd & Castle	La Canada Flintridge	California\Verdugos
10/1/2018	Barton Springs & S. Lamar	Austin	Texas\Austin
10/1/2018	518 & Southern Trails Dr.	Pearland	Texas\Houston
10/1/2018	287 & Sublett	Arlington	Texas\DallasFortWorth
10/1/2018	John Deere Road & 7th Street	Moline	Illinois\IllinoisRemoteMarkets
10/1/2018	Penn Station - Amtrak	New York	NewYork\NewYorkCity
10/1/2018	Stirling & I-95	Dania Beach	Florida\BrowardCounty
10/1/2018	Marion -W Deyoung and Walton Way	Marion	Illinois\IllinoisRemoteMarkets
10/1/2018	I-85 & Park Street	Belmont	NorthCarolina\Charlotte
9/30/2018	Mohawk & M Street - Springfield	Springfield	Oregon\WestCentralOregon
9/29/2018	Coram-Rte. 112	Coram	NewYork\LongIsland
9/29/2018	College Rd & Old Steese Hwy	Fairbanks	Alaska
9/29/2018	Main St & Sierra Park	Mammoth Lakes	California\CaliforniaRemoteMarkets
9/28/2018	13th and Simpson - Sugar House	Salt Lake City	Utah
9/28/2018	Broadway and Virginia	Denver	Colorado\Denver
9/28/2018	Tanger Outlets Hershey	Hershey	Pennsylvania\PennsylvaniaRemoteMarkets
9/28/2018	Jefferson St & Osuna Rd	Albuquerque	NewMexico\Albuquerque
9/27/2018	Yelm & Henderson	Tumwater	Washington\Olympia
9/27/2018	Chantilly Place	Chantilly	Virginia\NorthernVirginia
9/27/2018	East Islip-Sunrise Hwy.	East Islip	NewYork\LongIsland
9/27/2018	389 Yonge Street	Barrie	Ontario\GreaterTorontoArea
9/27/2018	894 Tower Street South	Fergus	Ontario\GreaterTorontoArea
9/27/2018	Cross & J Street	Tulare	California\CentralValley
9/27/2018	Scottsdale & Lone Mountain	Scottsdale	Arizona\Phoenix
9/27/2018	Nut Tree & Harbison	Vacaville	California\SolanoCounty
9/27/2018	Owen & US-23	Fenton	Michigan\MichiganRemoteMarkets
9/26/2018	Tice Valley Blvd & Rossmoor Pkwy	Walnut Creek	California\ContraCostaCounty
9/26/2018	Broadlands Village	Ashburn	Virginia\NorthernVirginia
9/25/2018	17th & Manchester	Columbus	Georgia\GeorgiaRemoteMarkets
9/24/2018	32nd & Union Hills	Phoenix	Arizona\Phoenix
9/24/2018	Quincy & Picadilly	Aurora	Colorado\Denver
9/24/2018	Indigo Cataraqui Centre	Kingston	Ontario\KingstonBelleville
9/24/2018	Hwy 9 & I-40	Black Mountain	NorthCarolina\Asheville
9/22/2018	Beloeil	Beloeil	Quebec\Montreal
9/22/2018	Shelton, Commerce Drive	Shelton	Connecticut\SouthernConnecticut
9/21/2018	US 441 & Glades Rd	Boca Raton	Florida\PalmBeachCounty
9/21/2018	Royersford	Royersford	Pennsylvania\Philadelphia
9/21/2018	Shoppes at Cedar Cliff	Camp Hill	Pennsylvania\PennsylvaniaRemoteMarkets
9/21/2018	Mollison Ave. & I-8	El Cajon	California\SanDiego
9/20/2018	Greenfield CA	Greenfield	California\CentralCoast
9/20/2018	Highway 4 and Hillcrest	Antioch	California\ContraCostaCounty
9/20/2018	Route 25 & Lake Marian	Carpentersville	Illinois\Chicagoland
9/18/2018	Thornton Pkwy and Pearl	Thornton	Colorado\Denver
9/17/2018	S. Michigan & 6th Ave S.	Seattle	Washington\Seattle
9/15/2018	Lawrence & Central	Chicago	Illinois\Chicago
9/14/2018	Hershey Towne Square	Hershey	Pennsylvania\PennsylvaniaRemoteMarkets
9/14/2018	Bridgeport, White Oaks Business Par	Bridgeport	WestVirginia
9/14/2018	Roswell Rd & Windsor	Atlanta	Georgia\Atlanta
9/14/2018	Santiam Hwy & Waverly - Albany	Albany	Oregon\WestCentralOregon
9/13/2018	4201 Bloor Street West	Toronto	Ontario\Toronto
9/13/2018	Florence & Paramount	Downey	California\SoutheastLosAngeles
9/13/2018	The Junction - Sonora	Sonora	California\ModestoStockton
9/13/2018	Lynbrook-Sunrise Hwy.	Lynbrook	NewYork\LongIsland
9/13/2018	Monroe & 42nd	Indio	California\PalmSprings
9/10/2018	Heber - Main St and 600 S.	Heber City	Utah
9/8/2018	43rd and Meridian - Puyallup	Puyallup	Washington\Tacoma
9/7/2018	Upper Canada Mall	Newmarket	Ontario\GreaterTorontoArea
9/7/2018	Dove Valley & North Valley Pkwy	Phoenix	Arizona\Phoenix
9/7/2018	Hwy 50 & Windtree	Winter Garden	Florida\Orlando
9/7/2018	Regency Square Mall	Henrico	Virginia\Richmond
9/7/2018	I-215 & Little League	San Bernardino	California\SanBernardinoCounty
9/6/2018	Western and 95th	Evergreen Park	Illinois\Chicagoland
9/6/2018	Figueroa & Cypress	Los Angeles	California\LosAngeles
9/6/2018	Hanley & Dale	Richmond nHeights	Missouri\StLouis
9/6/2018	I-640 & N Broadway - Fountain City	Fountain City	Tennessee\Knoxville
9/5/2018	Bay Plaza Shopping Center	Bronx	NewYork\Bronx
9/4/2018	16th & US-31	Holland	Michigan\GrandRapids
8/31/2018	W. SR 434 & Raymond Ave	Longwood	Florida\Orlando
8/31/2018	Hwy 11 and Avenue W	Birmingham	Alabama\Birmingham
8/31/2018	Murphys Corner	Mill Creek	Washington\Seattle
8/31/2018	Springfield - 1st St & Hillcrest	Springfield	Ohio\OhioRemoteMarkets
8/30/2018	Cicero & Berteau	Chicago	Illinois\Chicago
8/30/2018	Clark & Bradley	Orcutt	California\CentralCoast
8/29/2018	6th & Kenmore (Chapman Market)	Los Angeles	California\LosAngeles
8/25/2018	1304 Wilmington Pike	West Chester	Pennsylvania\Philadelphia
8/24/2018	Colfax & Altura	Aurora	Colorado\Denver
8/24/2018	Harbor & Brea, Fullerton	Fullerton	California\OrangeCounty
8/24/2018	Faneuil Hall Mrkt Place	Boston	Massachusetts\Boston
8/23/2018	Soquel Canyon & Pomona Rincon	Chino Hills	California\SanBernardinoCounty
8/23/2018	Smoky Hill & Buckley	Aurora	Colorado\Denver
8/23/2018	Telegraph & I-696	Southfield	Michigan\Detroit
8/21/2018	Centerbrooke & Godwin	Suffolk	Virginia\ChesapeakeBayRegion
8/20/2018	116th & Olio - Fishers	Fishers	Indiana\Indianapolis
8/20/2018	1350 North Ave - Grand Junction	Grand Junction	Colorado\ColoradoRemoteMarkets
8/17/2018	Virginia & 15th - UNR	Reno	Nevada\Reno
8/17/2018	Charleston, Southridge Shopping Ctr	Charleston	WestVirginia
8/17/2018	1111 S. Salisbury Blvd	Salisbury	Maryland\EasternMaryland
8/17/2018	Capital Blvd & Calvin Jones	Wake Forest	NorthCarolina\RaleighDurhamChapelHill
8/17/2018	Athens, W. Union St	Athens	Ohio\OhioRemoteMarkets
8/17/2018	N. High St. & Lane Ave., Columbus	Columbus	Ohio\Columbus
8/16/2018	Williams CA	Williams	California\CaliforniaRemoteMarkets
8/16/2018	Channel Islands & Wheelhouse	Port Hueneme	California\Ventura
8/16/2018	Heritage Valley	Edmonton	Alberta\Edmonton
8/16/2018	Sheridan and Colgate	Denver	Colorado\Denver
8/15/2018	Yale & 61st	Tulsa	Oklahoma\Tulsa
8/15/2018	Hamilton & San Tomas	Campbell	California\SantaClaraCounty
8/15/2018	87th and Indiana	Arvada	Colorado\Denver
8/15/2018	Oracle & 1st	Oro Valley	Arizona\Tucson
8/14/2018	Wadsworth and 10th	Lakewood	Colorado\Denver
8/13/2018	Colfax & Scranton	Aurora	Colorado\Denver
8/13/2018	Indigo 2025 Mer-Bleue Road	Orleans	Ontario\Ottawa
8/11/2018	Hookele & South Puunene Avenue	Kahului	Hawaii\Maui
8/10/2018	215 & Iowa	Colton	California\SanBernardinoCounty
8/10/2018	2309 N Federal Hwy	Fort Lauderdale	Florida\BrowardCounty
8/8/2018	Elmsford, Tarrytown Rd	Elmsford	NewYork\WestchesterCounty
8/3/2018	Cocowalk and Main	Coconut Grove	Florida\Miami
8/3/2018	Griffin Rd & S University Dr	Davie	Florida\BrowardCounty
8/3/2018	457 Hazeldean Road	Kanata	Ontario\Ottawa
8/3/2018	9222 Keele St	Vaughan	Ontario\GreaterTorontoArea
8/3/2018	Clarksville - Veterans Pkwy & I-65	Clarksville	Indiana\GreaterLouisville
8/3/2018	Lanier Island and Bristol Industria	Buford	Georgia\Atlanta
8/3/2018	Plainview - Country Pointe	Plainview	NewYork\LongIsland
8/3/2018	Hwy 2 & Nevada	Spokane	Washington\Spokane
8/3/2018	S Main Street and W Butler Road	Mauldin	SouthCarolina\Greenville
8/2/2018	Ben Maddox & Noble	Visalia	California\CentralValley
8/2/2018	Fairview Mall	Toronto	Ontario\Toronto
8/2/2018	Broadway & 78	Escondido	California\SanDiego
8/2/2018	83rd & Thunderbird	Peoria	Arizona\Phoenix
8/2/2018	Stearns & Route 59	Bartlett	Illinois\Chicagoland
8/1/2018	3370 Northside Pkwy	Atlanta	Georgia\Atlanta
7/27/2018	Upper level Scarborough Town Centre	Scarborough	Ontario\GreaterTorontoArea
7/27/2018	151st & Hardy - Overland Park	Overland Park	Kansas\KansasCityKansas
7/27/2018	Main St & Baptist Dr.	Madison	Mississippi\Jackson
7/26/2018	Dussel & Ford	Maumee	Ohio\Toledo
7/26/2018	Church Lane at York Rd	Timonium	Maryland\Baltimore
7/26/2018	Figueroa & 31st	Los Angeles	California\LosAngeles
7/26/2018	Peace Portal Drive - Blaine	Blaine	Washington\Bellingham
7/23/2018	I-20 & Collins	Arlington	Texas\DallasFortWorth
7/22/2018	Mt. Diablo & Locust	Walnut Creek	California\ContraCostaCounty
7/21/2018	Sutterville & 21st	Sacramento	California\Sacramento
7/20/2018	Willoughby Commons	Willoughby	Ohio\Cleveland
7/19/2018	Florin & Freeport	Sacramento	California\Sacramento
7/19/2018	N Jackson & Jackson Circle	Tullahoma	Tennessee\TennesseeRemoteMarkets
7/18/2018	West Tucson & Aspen Creek	Broken Arrow	Oklahoma\Tulsa
7/16/2018	4th Ave. & Union St.	Brooklyn	NewYork\Brooklyn
7/16/2018	I-45 & Vision Park Blvd.	Woodlands	Texas\Houston
7/13/2018	Chinook Centre Food Court	Calgary	Alberta\Calgary
7/13/2018	I-65 & SR-334	Whitestown	Indiana\Indianapolis
7/13/2018	Richlands & Yopp Rd	Jacksonville	NorthCarolina\NorthCarolinaRemoteMarkets
7/13/2018	San Elijo & Elfin Forest Rd	San Marcos	California\SanDiego
7/12/2018	9681 Jane Street	Vaughan	Ontario\GreaterTorontoArea
7/12/2018	4th St. & Wake Ave.	El Centro	California\ImperialCounty
7/12/2018	7th & Highland	Phoenix	Arizona\Phoenix
7/12/2018	Centre City Pkwy & Felicita	Escondido	California\SanDiego
7/12/2018	I-17 & Bell	Phoenix	Arizona\Phoenix
7/12/2018	Hope DT	Hope	BritishColumbia\BritishColumbiaRemoteMarkets
7/9/2018	I-40 & Turnersburg Hwy	Statesville	NorthCarolina\NorthCarolinaRemoteMarkets
7/6/2018	Raritan Heights	New Brunswick	NewJersey
7/5/2018	Allston, Continuum	Boston	Massachusetts\Boston
7/5/2018	Pike and Rose - Grand Park Ave	Rockville	Maryland\WashingtonDCArea
7/5/2018	Price & Willis	Chandler	Arizona\Phoenix
7/4/2018	Hwy 70 & Sonoma Ranch	Las Cruces	NewMexico\LasCruces
7/3/2018	Rt 53 & Woodridge	Woodridge	Illinois\Chicagoland
6/30/2018	Crater Lake & Pacific Hwy - Medford	Medford	Oregon\SouthernOregon
6/30/2018	Newcastle Commons	Newcastle	Washington\Seattle
6/29/2018	Westnedge & Ruth	Portage	Michigan\Kalamazoo
6/29/2018	3347 M Street	Washington	WashingtonDC\WashingtonDC
6/29/2018	50 E & Arcadia St, Easton, MD	Easton	Maryland\EasternMaryland
6/29/2018	38th & G Street - Tacoma	Tacoma	Washington\Tacoma
6/29/2018	Century & Prairie	Inglewood	California\SouthLosAngeles
6/29/2018	Northwoods Village	North Vancouver	BritishColumbia\Vancouver
6/29/2018	Jimmy Carter and Live Oak	Norcross	Georgia\Atlanta
6/29/2018	RT 38 & Lenola Rd	Maple Shade	NewJersey
6/28/2018	Vedder & Keith Wilson	Chilliwack	BritishColumbia\Vancouver
6/28/2018	I-94 & Church	Johnson Creek	Wisconsin\WisconsinRemoteMarkets
6/28/2018	Sleater Kinney & Royal	Lacey	Washington\Olympia
6/27/2018	Fort & Pennsylvania Ave	Riverview	Michigan\Detroit
6/27/2018	63rd & Grand	Oklahoma	Oklahoma\OklahomaCity
6/26/2018	116th & Kent-Kangley Rd	Kent	Washington\Tacoma
6/26/2018	5055 Innovation Drive	Kanata	Ontario\Ottawa
6/26/2018	Summer Creek & Sycamore School Road	Fort Worth	Texas\DallasFortWorth
6/25/2018	Roy Richard (FM 3009) & Elbel	Schertz	Texas\SanAntonio
6/22/2018	Washington & Ogden	Naperville	Illinois\Chicagoland
6/22/2018	1700 E Joppa Rd	Towson	Maryland\Baltimore
6/22/2018	Golf Course & Redwood	Rohnert Park	California\SonomaCounty
6/22/2018	Kittery US 1	Kittery	Maine
6/21/2018	Campbell & Glenn	Tucson	Arizona\Tucson
6/21/2018	Swan & Fort Lowell	Tucson	Arizona\Tucson
6/21/2018	Jefferson & Powell	San Francisco	California\SanFrancisco
6/18/2018	Cicero & Archer	Chicago	Illinois\Chicago
6/18/2018	Far West Blvd at Hart Ln	Austin	Texas\Austin
6/18/2018	Loop 1604 & Vance Jackson	San Antonio	Texas\SanAntonio
6/18/2018	Loop 289 & 34th	Lubbock	Texas\Lubbock
6/18/2018	SH 48 & SH 100	Port Isabel	Texas\RemoteMarkets
6/15/2018	Concord Pike North Wilmington	Wilmington	Delaware
6/14/2018	Whittier & Beach	La Habra	California\OrangeCounty
6/14/2018	10705 Silverdale Way	Silverdale	Washington\KitsapCounty
6/14/2018	El Dorado & Fremont	Stockton	California\ModestoStockton
6/14/2018	Indianapolis - W. 38th & I-465	Indianapolis	Indiana\Indianapolis
6/14/2018	Hwy 50 & Long Dr	O`Fallon	Illinois\GreaterStLouis
6/11/2018	Wesleyan and Sunset	Rocky Mount	NorthCarolina\NorthCarolinaRemoteMarkets
6/8/2018	56th & Summitview	Yakima	Washington\CentralWashington
6/8/2018	Hyatt Bethesda Metro	Bethesda	Maryland\WashingtonDCArea
6/8/2018	Mitchell & Boon Rd	Cadillac	Michigan\MichiganRemoteMarkets
6/8/2018	Leslie and Stackhouse	Newmarket	Ontario\GreaterTorontoArea
6/8/2018	Penn Center East	Pittsburgh	Pennsylvania\Pittsburgh
6/7/2018	Strawberry Village Shopping	Mill Valley	California\MarinCounty
6/7/2018	San Jacinto Ave. & E. Esplanade Ave	San Jacinto	California\RiversideCounty
6/4/2018	Pleasant Grove and North County	Pleasant Grove	Utah
6/1/2018	Collins & I-295	Jacksonville	Florida\Jacksonville
6/1/2018	9th & I-94	Kalamazoo	Michigan\Kalamazoo
6/1/2018	Dixie Hwy & Lucerne Ave	Lake Worth	Florida\PalmBeachCounty
6/1/2018	806 St. Clair St	Chatham	Ontario\OntarioRemoteMarkets
6/1/2018	Cortland, Millennium Blvd	Cortland	Ohio\Youngstown
6/1/2018	Colfax and Ivy	Denver	Colorado\Denver
6/1/2018	215 North Service Road	Oakville	Ontario\GreaterTorontoArea
5/31/2018	First & Nees	Fresno	California\CentralValley
5/29/2018	Silver Creek & Hwy 101	San Jose	California\SantaClaraCounty
5/29/2018	Quesnel DT	Quesnel	BritishColumbia\BritishColumbiaRemoteMarkets
5/28/2018	Northgate & Struthers	Colorado Springs	Colorado\ColoradoSprings
5/25/2018	Port Republic and I-81	Harrisonburg	Virginia\VirginiaRemoteMarkets
5/24/2018	167th & Crawford	Country Club Hills	Illinois\Chicagoland
5/24/2018	Estes Park - Wonderview and US34	Estes Park	Colorado\FortCollins
5/24/2018	10th & L	Sacramento	California\Sacramento
5/24/2018	Owens & Chabot	Pleasanton	California\AlamedaCounty
5/24/2018	Hillsborough RT 206 S	Hillsborough	NewJersey
5/22/2018	30 World Drive	Mississauga	Ontario\PeelRegion
5/21/2018	Washington & Schuler	Houston	Texas\Houston
5/21/2018	Bay Ridge Road - Annapolis	Annapolis	Maryland\Annapolis
5/21/2018	Fruita - Raptor and Jurassic	Fruita	Colorado\ColoradoRemoteMarkets
5/21/2018	8656 Yonge Street	Richmond Hill	Ontario\GreaterTorontoArea
5/21/2018	Spring Green & Westpark	Katy	Texas\Houston
5/21/2018	I-35 & Covell	Edmond	Oklahoma\OklahomaCity
5/18/2018	US19 & Holiday Hills Blvd	Port Richey	Florida\Tampa
5/18/2018	Greece, W. Ridge & Long Pond	Greece	NewYork\Rochester
5/18/2018	Highway 61 and S. Carroll	Villa Rica	Georgia\GeorgiaRemoteMarkets
5/18/2018	Nassau Ave & Lorimer St	Brooklyn	NewYork\Brooklyn
5/17/2018	Chinook North Main Level	Calgary	Alberta\Calgary
5/17/2018	Hickman Rd & Alices Rd - Waukee	Waukee	Iowa
5/17/2018	123rd and Coastal Highway	Ocean City	Maryland\EasternMaryland
5/17/2018	63rd & Brookside Blvd - Kansas City	Kansas City	Missouri\KansasCity
5/17/2018	Kyrene and Chandler	Chandler	Arizona\Phoenix
5/17/2018	Saginaw and Canal	Lansing	Michigan\Lansing
5/17/2018	Orchard Lake & NW Hwy	Farmington Hills	Michigan\Detroit
5/12/2018	Temecula Pkwy & La Paz	Temecula	California\RiversideCounty
5/11/2018	Warwick Blvd & University Pl. (CNU)	Newport News	Virginia\ChesapeakeBayRegion
5/11/2018	Conroy & FL Turnpike	Orlando	Florida\Orlando
5/11/2018	20 Ave & 36 St	Calgary	Alberta\Calgary
5/11/2018	Main & Melrose	Chula Vista	California\SanDiego
5/11/2018	Laurens Rd and Woodruff Rd	Greenville	SouthCarolina\Greenville
5/10/2018	Burlington Mall Indigo	Burlington	Ontario\GreaterTorontoArea
5/10/2018	Hwy 99 & Main	Ripon	California\ModestoStockton
5/10/2018	Lafayette - Veterans Pkwy & Concord	Lafayette	Indiana\IndianaRemoteMarkets
5/10/2018	Higley & Baseline	Gilbert	Arizona\Phoenix
5/8/2018	Rt 30 & Anchorage Rd	Warsaw	Indiana\IndianaRemoteMarkets
5/6/2018	Chapters- 499 Paul St	Dieppe	NewBrunswick
5/6/2018	Regent Mall Fredericton	Fredericton	NewBrunswick
5/4/2018	Wall, NJ	Wall	NewJersey
5/4/2018	Carl D Silver Parkway & Cowan Blvd	Fredericksburg	Virginia\Fredericksburg
5/4/2018	Mission & Dufour	Santa Cruz	California\CentralCoast
5/4/2018	Salem and Ellington	Conyers	Georgia\GeorgiaRemoteMarkets
5/4/2018	Strongsville, SR 82	Strongsville	Ohio\Cleveland
5/3/2018	Cineplex Kitchener Indigo	Kitchener	Ontario\GreaterTorontoArea
5/3/2018	Auto Plaza Way & Main St	Green Bay	Wisconsin\NorthernWisconsin
5/3/2018	Fountain Hills & Palisades	Fountain Hills	Arizona\Phoenix
5/1/2018	Pioneer & Kimball - Gig Harbor	Gig Harbor	Washington\Tacoma
4/30/2018	Unser & Ladera	Albuquerque	NewMexico\Albuquerque
4/30/2018	Alameda Ave & Paisano Drive	El Paso	Texas\ElPaso
4/30/2018	Broadway and Dry Creek	Littleton	Colorado\Denver
4/30/2018	74th & Mustang	Mustang	Oklahoma\OklahomaCity
4/30/2018	I-35 & Ovilla	Red Oak	Texas\DallasFortWorth
4/30/2018	Spring Stuebner & Kuykendahl	Spring	Texas\Houston
4/28/2018	River District Vancouver	Vancouver	BritishColumbia\Vancouver
4/27/2018	74-25 Grand Ave.-Shops at Grand	Maspeth	NewYork\Queens
4/27/2018	Auburn Mall - Auburn	Auburn	Alabama\AlabamaRemoteMarkets
